rawName,type,offsetStart,offsetEnd,nerd_selection_score,wikipediaExternalRef,wikidataId
Malgré Madame Gildas,PERSON,172963,172983,0,,
Georges,BUSINESS,173299,173306,0,,
Georges,PERSON,173426,173433,0,,
Georges,PERSON,173655,173662,0,,
totalitaires,,173691,173703,0.4928,15761,Q128135
totalitaires,,173746,173758,0.4928,15761,Q128135
Kriegel Après Georges,BUSINESS,173792,173813,0,,
antisémitisme,,174235,174248,0.7394,8391,Q22649
Valrimont,BUSINESS,174319,174328,0,,
Judéo Marxiste,PERSON,174477,174491,0,,
Robert,PERSON,174550,174556,0,,
Robert,PERSON,174585,174591,0,,
Robert,BUSINESS,174786,174792,0,,
Sauv,BUSINESS,174794,174798,0,,
"Commissions des ""Génies",ORGANISATION,174913,174936,0,,
inspecteurs des finances,,175075,175099,0.4206,478799,Q3151643
Alger,BUSINESS,175297,175302,0.8432,107,Q3561
CGE,BUSINESS,175304,175307,0,,
communisme,,175487,175497,0.6194,5349064,Q6186
Dumont,BUSINESS,175499,175505,0,,
Fédé,,175815,175819,0.4726,9329218,Q21008415
Tristan,PERSON,175875,175882,0,,
Tristan,PERSON,175954,175961,0,,
Dumont,BUSINESS,176225,176231,0,,
régime capitaliste,,176360,176378,0.5142,8313,Q6206
marxiste,,176421,176429,0.6443,45519,Q7264
Mai Debu-Bridel,PERSON,177022,177037,0,,
DUVAL,BUSINESS,177062,177067,0,,
français,,177128,177136,0.647,1095,Q142
Tardieu,LOCATION,177211,177218,0,,
blé,,177261,177264,0.6538,20544,Q15645384
cher,,177265,177269,0.488,548,Q3286
France,LOCATION,177368,177374,0.7527,1095,Q142
Thorez,PERSON,177525,177531,0.3777,36209,Q345408
Gaulle,PERSON,177716,177722,0,,
inquisition,,177976,177987,0.6347,27400,Q43173
Pignelli,BUSINESS,178270,178278,0,,
capitalisme,,178517,178528,0.6478,8313,Q6206
RÉUNION,LOCATION,178529,178536,0,,
GARNIER,BUSINESS,178542,178549,0,,
bois de Boulogne,,178767,178783,0.9918,104619,Q209626
Garnier,PERSON,179692,179699,0,,
Churchill,PERSON,179912,179921,0.3756,15797,Q8016
Ankara,LOCATION,180060,180066,0.8773,14364,Q3640
Pierre Commin Darbois,PERSON,180328,180349,0,,
rime,,180987,180991,0.5621,2638,Q178715
S et Oise,PERSON,181159,181168,0,,
Lecoq,BUSINESS,181170,181175,0,,
Maurice,PERSON,181203,181210,0,,
Marty,PERSON,181661,181666,0,,
Robert Salmon,,181723,181736,0.9911,4495344,Q3436226
DF,BUSINESS,181922,181924,0,,
Terrière,BUSINESS,182001,182009,0,,
Vichy,LOCATION,182077,182082,0.4988,15794,Q93351
dialectique,,182245,182256,0.6264,25083,Q9453
dialectique,,182475,182486,0.6264,25083,Q9453
Séance de nuit,,182934,182948,0.5587,5319841,Q3509906
Bureau Parisien,ORGANISATION,182952,182967,0,,
aise,,183219,183223,0.6906,463200,Q1548757
CPL,ORGANISATION,183495,183498,0,,
psychologie populaire,,183706,183727,0.4681,292856,Q1874033
Dumarion,BUSINESS,183799,183807,0,,
Maurice Thorez,PERSON,183937,183951,0.9985,36209,Q345408
Mons,,184086,184090,0.6343,21408,Q83407
BP,,184783,184785,0.4109,53719,Q152057
Yves Farge,PERSON,184798,184808,0.9984,199570,Q2443625
CAD,,184846,184849,0.5781,154943,Q1104069
Vignon,LOCATION,185644,185650,0,,
Marc Laurent119117faute,PERSON,186097,186120,0,,
déportation,,186228,186239,0.4072,331820,Q379693
